"RefDes","Value","Name","Pattern","Quantity"
"C1","22uF","CAP","CAP_1206","1"
"C2","100nF","CAP","CAP_0805","1"
"C3","100nF","CAP","CAP_0603","1"
"C4","22uF","CAP","CAP_1206","1"
"C5","2.2uF","CAP","CAP_0805","1"
"C6","22uF","CAP","CAP_1206","1"
"C7","100nF","CAP","CAP_0805","1"
"C8","100nF","CAP","CAP_0603","1"
"C9","22uF","CAP","CAP_1206","1"
"C10","10uF","CAP","CAP_0805","1"
"C11","100nF","CAP","CAP_0603","1"
"C12","100nF","CAP","CAP_0603","1"
"C13","47nF","CAP","CAP_0603","1"
"C14","47nF","CAP","CAP_0603","1"
"C15","100nF","CAP","RES_0603","1"
"C16","100nF","CAP","CAP_0603","1"
"C17","10uF","CAP","CAP_0805","1"
"C18","1uF","CAP","CAP_0805","1"
"C19","4.7uF","CAP","CAPAE-4.3x4.3h5.4","1"
"C20","100nF","CAP","CAP_0603","1"
"C21","100nF","CAP","CAP_0603","1"
"C22","100nF","CAP","CAP_0603","1"
"C24","100nF","CAP","CAP_0603","1"
"D1","3.3V","BZX384-C3V6","SOD-323","1"
"D2","Connection","LED","DIO_0805","1"
"D3","Data Event","LED","DIO_0805","1"
"D4","Activity","LED","DIO_0805","1"
"D6","","Red/Green LED","Red/Green LED","1"
"J1","","1734081-1","1734081-1","1"
"J2","","JUMPER","RES_0603","1"
"L1","4.7uH","VLP8040T-4R7M","VLP8040T","1"
"L2","110nH","IND","74402800011","1"
"L3","2.2uH","IND","SDR0403","1"
"L4","110nH","IND","74402800011","1"
"L5","","MPZ2012S221A","IND_0805","1"
"R1","10K","RES_0603","RES_0603","1"
"R2","100K","RES_0603","RES_0603","1"
"R3","121K","RES_0603","RES_0603","1"
"R4","22.1K","RES_0603","RES_0603","1"
"R5","10K","RES_0603","RES_0603","1"
"R6","100K","RES_0603","RES_0603","1"
"R7","73.2K","RES_0603","RES_0603","1"
"R8","22.1K","RES_0603","RES_0603","1"
"R9","0.01R","RES_2512","RES_1206","1"
"R10","16.9K","RES_0603","RES_0603","1"
"R12","10K","RES_0805","RES_0603","1"
"R13","130R","RES_0603","RES_0603","1"
"R14","10K","RES_0805","RES_0603","1"
"R15","10K","RES_0603","RES_0603","1"
"R16","2K21","RES_0603","RES_0603","1"
"R17","100R","RES_0805","RES_0603","1"
"R18","100R","RES_0805","RES_0603","1"
"R19","130R","RES_0603","RES_0603","1"
"R20","130R","RES_0603","RES_0603","1"
"R21","130R","RES_0603","RES_0603","1"
"R22","100R","RES_0805","RES_0603","1"
"R23","130R","RES_0603","RES_0603","1"
"TP1","RX","TESTPOINT","Test Point Surface","1"
"TP2","TX","TESTPOINT","Test Point Surface","1"
"U1","","TPS54394 / 2","TSSOP-16EP","1"
"U2","","PIC24FJ128GC006","QFP-64/12x12x0.5","1"
"U3","","TPS2540","QFN-16/3x3x0.5","1"
"U4","","TS1100","SOT23-5","1"
"U5","","IDC3 ICSP","HDR-1x6","1"
"U6","","RN4020","RN4020","1"
"U8","","12V Power Connector","Power Connector","1"
"","","","","66"
